frame,x [nm],y [nm],z [nm],intensity [au]
2.0,207810.25000000003,206486.95374108106,42789.43305030281,603.1622314453125
2.0,216455.27422107337,205760.77422107337,44034.85946449232,510.63128662109375
2.0,345081.65156697814,262600.348433022,48560.00356836084,693.442138671875
2.0,131337.2756614846,36844.737169257685,50080.46148735799,715.1734008789062
2.0,345502.5116539374,107164.75,51234.567901234564,590.6431274414062
2.0,299556.3367436827,9009.749999999996,52274.441240746295,389.3914489746094
2.0,167513.5802589357,183069.248759605,53694.46601396725,183.12164306640625
2.0,250639.11311998963,112058.8732173294,53900.03095438451,217.6501007080078
2.0,160009.0294391811,113277.56199681759,55833.94832081265,49.89508819580078
2.0,270827.2803447992,51849.12009622155,59581.697355082,272.57440185546875
2.0,18463.75164890287,80152.98623561859,58550.259544525616,10.827227592468262
2.0,24122.578680731353,97696.94235557319,58536.60620840979,258.23516845703125
2.0,110013.19771690668,230810.75,58641.97530864197,436.26861572265625
2.0,320037.696803391,110627.06059372425,60566.42469800548,215.5
2.0,163294.995471552,138547.2463216931,60715.35065586184,394.6245422363281
2.0,280555.13799443847,236963.75,60277.97173570703,332.6794738769531
2.0,42413.98311728844,259471.57887762785,61587.50940252233,51.51103591918945
2.0,162684.03198627103,344274.55555456877,65313.762941478206,57.501338958740234
2.0,198917.80603976548,130307.62752641925,66102.68743041858,349.4810485839844
2.0,101568.39225431532,262209.1022866219,67479.62037722269,100.86943054199219
2.0,101829.45085193217,293138.5588539243,69471.17468089233,152.49554443359375
2.0,341270.0393737043,191374.7242251486,72165.57063806204,279.15087890625
2.0,218497.9773192611,70099.71587183874,76295.80895105997,234.5970458984375
2.0,179431.73045372963,62921.75,78082.42914853273,358.3365173339844
2.0,211144.53695994618,112692.46544405818,79063.93865008412,185.31289672851562
2.0,17208.51741157284,271220.5175554902,86109.70872787782,322.52386474609375
2.0,207398.03482837233,106742.5537798889,89825.56425494912,295.1013488769531
2.0,180560.8708831171,96030.75,91180.20895086689,695.59228515625
2.0,151254.9465916343,233877.42773785072,90527.3531138161,436.9607849121094
2.0,165714.44305677712,291168.75000000006,90117.23001797993,295.6765441894531
2.0,46307.129259288304,181878.69990790565,92526.05261626067,281.37591552734375
2.0,93009.74534896016,333689.04932174087,92169.55775096091,219.06182861328125
2.0,339369.8129417477,295358.4451532513,95679.01234567902,23.21091651916504
2.0,32787.24099779129,297243.82510171836,95679.01234567902,15.516226768493652
3.0,109961.01712135598,295541.41760598874,3086.41975308642,382.568115234375
3.0,251613.75000000003,295909.2276816666,4731.344330457993,232.97064208984375
3.0,71308.42198621482,337362.1430031658,6636.11462086807,140.3195343017578
3.0,323994.6911854446,297907.99520260096,13585.31305083522,360.58599853515625
3.0,28954.920994564873,308881.69260789827,14256.079002846905,415.9912414550781
3.0,235422.28290072086,180822.6062174812,17257.120910985966,151.7080078125
3.0,208835.75000000003,255773.6500373036,16231.847839590944,245.15084838867188
3.0,190063.48557002842,204107.32759284973,18258.786569406955,210.10789489746094
3.0,88336.16403964162,279643.3816117048,18540.052241749232,70.22566223144531
3.0,237110.25,10449.06353092938,24074.074074074073,39.4924430847168
3.0,180414.75000000003,105318.60797816515,25192.094520654206,245.59230041503906
3.0,267728.75,165108.4132272452,24929.1220932831,125.3545150756836
3.0,274750.3308499419,41752.45784588157,33649.778660432785,192.25071716308594
3.0,147305.75000000003,188062.071422413,35743.79093853044,316.858154296875
3.0,86312.58072024584,248584.12021465602,33800.52604609065,125.8721694946289
3.0,222175.1415642314,205331.88231002167,43357.42202805884,442.8908386230469
3.0,207370.75000000003,204068.99476818743,47074.71934365637,152.87014770507812
3.0,133232.55356605724,37089.8975136131,50000.0,594.4916381835938
3.0,14012.230070918775,344456.5691004396,49884.794459298806,123.07614135742188
3.0,297468.25,8130.749999999978,51234.567901234564,800.0
3.0,344494.75000000006,262015.25000000003,51234.567901234564,800.0
3.0,341790.39367404586,107438.72629387677,53495.87614153638,78.05233001708984
3.0,251493.22398373488,110241.58916802413,54397.545589341054,521.245361328125
3.0,160647.63373492286,113699.46841336787,54976.26021366428,171.53750610351562
3.0,272534.2444191203,54093.26782183349,59721.741411421026,196.28512573242188
3.0,18526.11330778896,79987.391838938,58641.97530864197,106.15067291259766
3.0,319443.25000000006,111413.25,58018.13948301621,382.6719055175781
3.0,170021.40235054307,181293.47376592166,58459.01072025299,428.62451171875
3.0,107020.86649614293,231543.25000000003,58661.9396061625,425.7987365722656
