frame,x [nm],y [nm],z [nm],intensity [au]
1.0,230828.42220273617,50773.57090327517,3086.41975308642,23.150285720825195
1.0,341719.0865090099,61120.38672420384,3086.41975308642,15.05176830291748
1.0,312916.4830714911,68320.95678687099,3302.384324279832,64.68192291259766
1.0,32665.896833613515,105028.25548383595,3086.41975308642,209.550537109375
1.0,227077.2667171061,131849.25542423132,3086.41975308642,19.712217330932617
1.0,323052.5854878128,135590.23140847686,3086.41975308642,15.662653923034668
1.0,309464.3165585585,154138.622069791,3086.41975308642,17.80325698852539
1.0,92181.1081905961,184904.95938791338,3086.41975308642,20.15081787109375
1.0,224112.64145085218,202090.37470150742,3086.41975308642,12.18199348449707
1.0,160811.6348860264,232597.3171758652,3086.41975308642,24.757999420166016
1.0,131414.9575611651,251200.33626082545,3086.41975308642,10.46293830871582
1.0,247611.9204539359,28866.034698218114,3509.6100083103884,17.538257598876953
1.0,229172.80115044862,89291.75000000001,4234.726248699942,114.53412628173828
1.0,214146.6001261324,152582.22845177448,4141.013103502768,331.98358154296875
1.0,136954.6095234454,261575.75000000003,4320.9876543209875,10.618165016174316
1.0,239884.48195426541,29135.009007543333,6096.3790725778645,18.01642608642578
1.0,248023.93393415216,48922.91439038517,5555.555555555556,12.580108642578125
1.0,351645.3947703019,88898.43643163146,6867.481308218873,50.231529235839844
1.0,367411.9488471002,169159.36467934403,5676.682550966003,46.611289978027344
1.0,372204.376511164,263939.9139084444,7221.24547134211,338.49713134765625
1.0,309184.49805342505,152744.56562826785,10032.606676772788,466.3917541503906
1.0,365376.62832358485,163256.3879847564,8235.595402894196,24.047121047973633
1.0,246339.75000000003,179406.74088217693,12211.61315470566,224.70298767089844
1.0,162477.4576344639,187358.1475180984,10493.827160493825,10.151082038879395
1.0,245762.51567550193,210416.40606077018,10649.109861733,357.9892272949219
1.0,68176.46528325975,48644.38125595451,11995.601212536845,22.968910217285156
1.0,99570.37262002379,82044.59470722081,14146.231354018788,159.30616760253906
1.0,330471.05153332656,110282.9642005712,14326.613865516803,142.87416076660156
1.0,135925.56762570143,127673.10033658755,13592.109268094286,141.15646362304688
1.0,94919.95884962381,185495.9820674956,14197.53086419753,97.1136703491211
1.0,334897.6519195885,191853.64864173165,14197.53086419753,207.324951171875
1.0,245231.33941122892,89727.17588468085,15114.564071466892,165.8621826171875
1.0,339577.61656746274,187973.07289700213,15061.50592992335,77.08226776123047
1.0,246849.64314706626,26032.68385993691,16666.666666666664,101.25639343261719
1.0,323849.12652006006,88691.73819698022,16666.666666666664,185.29391479492188
1.0,339953.25,190669.75000000003,16666.666666666664,28.87486457824707
1.0,348712.9132636637,282085.75000000006,16206.066439181197,13.872626304626465
1.0,120387.9379463494,53584.15667623284,19047.950355359062,161.59873962402344
1.0,337336.3910849691,60440.05812869409,19553.336133191613,214.70640563964844
1.0,46222.14503048872,88761.26378674808,20500.69138223742,317.22100830078125
1.0,53985.25000000001,241686.9653758854,20390.909631955034,207.07472229003906
1.0,89145.25,142503.85561899844,21236.247412952373,35.5396614074707
1.0,292347.493137382,199817.9397090525,21060.760411215415,46.55585861206055
1.0,187007.25000000003,258741.1583614648,21604.938271604937,374.4307556152344
1.0,364268.07516122423,19323.90170681478,24074.074074074073,530.3435668945312
1.0,78889.95553565712,141738.45553565715,23815.18538351412,688.49365234375
1.0,161720.90420633554,185244.79922256994,23358.87168660576,17.789331436157227
1.0,339746.68964599073,189356.60053809552,23538.86928823259,151.8961639404297
1.0,11207.249999999987,124598.25000000001,25014.253420594297,175.7945556640625
1.0,194622.561484932,24786.671883314866,26584.239676594734,63.0828742980957
1.0,292094.2157577872,161807.03451182696,26867.12635152134,413.8187255859375
1.0,354165.6694767853,174720.13409762087,26131.07396496667,433.33782958984375
1.0,85484.93768400094,260432.34478670364,26301.582157611847,257.2837219238281
1.0,131188.30644898675,271245.5497093744,27359.204748530447,360.6519470214844
1.0,180121.75000000003,216893.25000000003,28597.98824345624,373.9697570800781
1.0,228767.3175254576,228466.75000000006,28961.178163687386,39.23734664916992
1.0,366176.75,238455.6166643203,28650.268213248546,482.83831787109375
1.0,374100.8304666058,246779.25000000006,27848.53960260933,381.0119323730469
1.0,280449.3788736612,48640.73616248371,30246.91358024691,31.47644805908203
1.0,292016.5500996933,79160.09711351247,30318.596218655137,483.34906005859375
1.0,40349.158438250415,85118.35227510335,30444.992692382246,44.75212097167969
1.0,271398.3947077524,196349.99752812838,30822.06863680003,109.97483825683594
1.0,319473.65459115064,27756.41560097226,33204.18103241626,402.0455627441406
1.0,302449.25,71272.25000000001,32716.04938271605,800.0
1.0,5759.211941294353,93979.75000000003,32737.075162614565,528.4356079101562
1.0,296882.25,103502.25000000003,32716.04938271605,800.0
1.0,229785.25000000003,204439.70720963046,32631.89459656491,742.4449462890625
1.0,232118.34652509916,255181.436118573,32716.04938271605,435.98504638671875
1.0,267833.971552074,268314.75000000006,32923.26257552629,415.5837097167969
1.0,224164.3156283051,90169.13086748823,33960.98988452627,364.74127197265625
1.0,328379.8601304826,96659.53422534469,35057.17670475995,290.6253662109375
1.0,328192.2619505078,117028.93700258437,35247.66203797893,234.43418884277344
1.0,79316.85202405229,143509.17277722064,33969.83751107329,12.20388412475586
1.0,362882.39776051044,172807.34630759808,34286.756979094615,301.2054138183594
1.0,73222.09499962628,245400.96872764832,33618.33264798294,68.4315185546875
1.0,300251.75,262397.39585307246,35082.483365211956,435.5291748046875
1.0,314089.0538221002,274285.5508122817,33950.61728395061,297.3478088378906
1.0,256741.25000000003,8270.78261244111,37654.32098765432,800.0
1.0,349902.0321493894,29446.38995832206,36632.09845990311,310.3050537109375
1.0,230388.86112074184,23368.668221412234,38595.67927357591,628.138427734375
1.0,155084.24829994887,35597.93974313142,39143.1995380072,322.6176452636719
1.0,292943.1245861091,251041.5785963312,38988.01155112407,752.94091796875
1.0,375850.517499812,38523.28778839113,40111.14085737018,332.73614501953125
1.0,351526.75000000006,146211.85436436537,39829.23332555794,359.87261962890625
1.0,353577.75000000006,210154.25000000006,40123.456790123455,766.7159423828125
1.0,308189.8804561049,275520.38045610493,40835.84112885557,593.1766357421875
1.0,94199.73148308694,58443.784595593825,41398.16650637874,58.35455322265625
1.0,325593.8371422496,272302.10591968155,41393.41785583967,224.4629364013672
1.0,352710.74051631615,56100.15166169407,44700.55162170787,69.18453979492188
1.0,169659.28370137513,89291.75000000001,44429.26365652202,274.7489318847656
1.0,148915.1058039428,281401.66634301847,45392.82715614931,220.1040496826172
1.0,230090.4505621456,145002.27363379303,45653.06997593538,189.36598205566406
1.0,90432.28839050978,148388.63103300336,46409.78371471535,130.66139221191406
1.0,172018.04768471423,239369.77351343638,45884.92409682568,40.493614196777344
1.0,230796.18779211864,283926.4014555514,46046.43550184038,163.15867614746094
1.0,55712.21640434863,114490.1379640836,47033.78673688865,71.23260498046875
1.0,250605.77551142502,265120.77235738933,47137.36169132185,338.7739562988281
1.0,362173.6670685709,8337.80071271957,49311.935975227825,44.67341613769531
1.0,237546.86751568134,149646.86751568134,48629.30086659796,703.2980346679688
1.0,161324.16296456757,270951.75000000006,48545.98878710358,430.49365234375
1.0,149315.93839965764,165369.8516288847,50022.90205915033,290.6398010253906
1.0,263412.82868553704,210792.93485027557,50351.29759782626,201.62872314453125
1.0,280474.25000000006,67364.60735452177,51624.791011398214,180.73097229003906
1.0,359151.6104075853,270526.26445975533,51333.87286353994,467.0354919433594
1.0,42542.05584159493,29015.50952592494,53002.335627873734,97.95074462890625
1.0,377947.4698789418,233196.91705936196,53774.806599558135,192.47662353515625
