"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty [nm]"
287.0,1.0,286894.7008284052,3739.7911029450584,1000.9249782008545,4929.973724475694,33.119207144116
290.0,1.0,286079.04825535923,681557.1123749191,1025.3146902069843,5628.95693965501,31.54157335413661
291.0,1.0,288014.673802293,181299.0631299792,981.9009599742574,5278.487398700827,32.245018550247764
293.0,1.0,288336.4899300309,672679.7449387395,1009.6797082607056,5464.774287483902,35.40473889189026
294.0,1.0,287234.4211611894,895760.4978328298,982.8679404394298,5081.814876933567,188.17029697003255
295.0,1.0,288325.01862700743,1054108.1871715859,999.2001205534608,5583.5856515899095,151.60094259524246
296.0,1.0,291606.77027533704,188664.638028598,970.1588466865503,5297.401744133231,34.00219808561821
298.0,1.0,295165.0651898703,822949.9708128911,993.8469358183268,5605.384932654906,31.56635998722358
301.0,1.0,297574.2001998313,830038.8567710534,1040.9372426930283,5811.913332159384,48.84642891452938
302.0,1.0,297648.7803762363,1165909.452592123,1031.7191354074619,5547.5604257777795,43.3755336971469
304.0,1.0,300581.8000762021,679858.5417312693,1014.4406502267975,4671.505710861047,38.91525189303583
312.0,1.0,307630.29836556624,745539.6978357156,1032.4974532897281,5991.007150460728,33.317589765081685
313.0,1.0,308011.9218471638,1162024.9108006745,998.5014356020442,5357.174042537744,41.59467120409646
315.0,1.0,308477.9881678381,317391.6395713746,975.7887034123063,5582.758988778205,166.16341446403388
316.0,1.0,308445.6978136575,521151.31837454624,1031.7173727119962,6162.507415939967,33.095367273307104
318.0,1.0,310584.76571489853,320520.92113643646,933.0019916753259,4797.02947755672,202.4612704827313
320.0,1.0,311917.6094649949,829115.1350791284,1068.1327681447824,6254.511598478548,29.590848191744012
321.0,1.0,313454.8565667591,633290.9457071812,1042.147076953651,5770.704587308552,35.819243859860414
322.0,1.0,314049.4495631073,755733.650228314,988.0089901528567,5660.813275650672,33.545541226350124
324.0,1.0,314498.33547029906,508378.86301749235,929.5926782220725,5381.867097120801,67.38628161616334
325.0,1.0,314024.5469346675,1165332.3422167737,1055.1424015509317,5602.5758787505365,41.832677306916
326.0,1.0,315323.47860093083,837498.5653547248,1011.2325307572005,4818.199938961612,35.54215906969694
328.0,1.0,317344.4566206302,640709.6161995328,988.1706162974941,5726.0914771820135,25.894793654251238
329.0,1.0,316695.7273302947,741301.571197579,1044.2617747430006,5757.118000598561,33.15252131408858
