"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty [nm]"
120.0,1.0,126762.34346214481,619370.900882075,1048.7272705360938,5680.345833074418,34.77439616343116
121.0,1.0,127582.75325465464,1072756.3163072497,1016.5713568308214,5339.390191059296,34.68839285267248
122.0,1.0,128926.08064187402,9008.428168960909,960.0246372035991,4454.1860539716245,34.33097093258606
123.0,1.0,128695.41567264151,730459.8739253765,1001.3932338485108,5481.333317080096,38.91327791573152
124.0,1.0,130062.1535689577,429226.6562793206,1027.7090854295432,4865.248974565631,36.21840317099824
125.0,1.0,131884.07906613787,608304.9857072807,984.7805051017298,5240.187396963955,31.493972188427637
126.0,1.0,133416.42552294547,283928.76979884226,1030.9432259211355,5788.351913312667,47.58160683680471
127.0,1.0,132678.79873372952,1165699.4889164339,1109.6109133319787,5713.147373820577,35.107516639622546
128.0,1.0,135349.99608933736,708993.6555618922,1036.8920812805281,5498.091572915038,29.577131672092936
129.0,1.0,135596.9245305509,803289.8541532314,1013.8094138221581,5247.14786544945,37.2191076959189
130.0,1.0,136579.9538302302,778608.079202275,1019.8651446099726,5645.427538919477,35.268743955090066
131.0,1.0,136431.41268177153,851222.2137274649,1080.3842779998606,6015.888458740848,30.145693445540328
132.0,1.0,137996.50947863873,931942.7510124039,1040.2118424466123,5736.388783234265,35.828518741564785
133.0,1.0,138447.631693018,1196914.5607375517,1075.455636052862,5392.130578795276,35.87221741172091
134.0,1.0,140140.73507493516,414525.9125913931,991.5625551529129,5259.820088480955,29.41040225607446
135.0,1.0,139711.35104767676,1100201.8597214015,1031.0905224089704,5299.09887833427,33.635590672573414
136.0,1.0,141783.54852109737,326875.30964239995,997.7311484812882,5285.083746149167,42.264372863570244
137.0,1.0,141013.33707085345,382993.8074492079,1001.2484598849736,5776.390037858811,33.73402496976499
138.0,1.0,142462.73257179055,449928.5154777375,970.0143632136638,5295.249331996694,33.75375856562202
139.0,1.0,142003.34607896087,763047.8147884915,1001.9236992274751,5368.422535641231,28.131537416091515
140.0,1.0,142273.99782121065,1127626.1944192094,1033.5824438666186,5450.490559562715,40.46282443183011
141.0,1.0,144291.08833504413,996003.9295023299,1003.7373772679946,5256.341032293593,28.11903267726639
142.0,1.0,145767.9124204075,1057591.1206240417,1063.2991251852213,5437.438268920281,32.23381464625789
143.0,1.0,147596.4168271699,180865.55224943,1005.2950171859983,5079.509797750598,33.6184310443061
144.0,1.0,149040.55973134263,501414.1194026377,992.6745257025073,5205.172428299225,37.03743977797462
145.0,1.0,152949.01242607433,743045.8330529463,983.932493023123,5870.647587004224,33.74654280088174
146.0,1.0,152556.48838324618,965290.3891344998,1006.7096509017497,4690.82458905844,34.17916730941138
147.0,1.0,155383.3596215695,1014967.5825660896,1082.210556916409,5784.51297372051,39.90844574525051
148.0,1.0,156286.14610152232,25397.618947271854,882.4852834524825,3799.8946338556498,186.0431231590881
149.0,1.0,155897.96546441776,947496.8562232399,1046.553097905977,5505.277520668605,35.14240897280984
150.0,1.0,157418.00234996964,539343.2297560364,1032.0299676125505,5725.336971121147,32.37512873358534
151.0,1.0,158486.03572945567,22596.465373841922,915.5537072628845,4088.6459051593106,179.554045774007
152.0,1.0,158453.45913296685,1169781.663227139,1071.6921690570528,5417.100590730261,35.770415681172295
153.0,1.0,161186.0216613324,714191.3772969195,1025.3429377493396,5730.588784377362,32.51947073678145
154.0,1.0,161439.47870364887,1078049.5726568114,994.29355143419,4994.090440083483,35.174440452279654
