"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","uncertainty [nm]"
60.0,1.0,61535.65081454261,564172.5014591217,714.4023781014561,15767.36907974264,125.73057475112198
61.0,1.0,63680.2038229656,1118234.3523560704,881.155453515827,18503.605673378777,38.91157914427617
62.0,1.0,64923.72042296727,7686.504754055575,773.7483627002714,14019.705528709092,75.83084274316553
63.0,1.0,64856.24897994803,113098.82442318983,809.7143167203982,16948.724105794532,32.297088542338194
64.0,1.0,66635.72734778789,377092.0457976442,933.4441813120344,19889.879081273015,47.9047846566062
65.0,1.0,66335.98230326972,862290.1296015553,848.3079489662108,18213.428236366766,50.989773402903694
66.0,1.0,67707.93112823712,326381.0117165039,756.5279081983832,15468.54085234474,33.74308768022668
67.0,1.0,67028.54290023849,425378.5040161286,885.3932699527763,20174.98440285713,28.047963952790003
68.0,1.0,67709.70668094198,992173.184666336,811.0130763927943,16997.127586530758,40.87688627743762
69.0,1.0,68432.27235772728,681140.1069444356,788.4689635870407,19244.03827617553,23.668004737375014
70.0,1.0,68563.52417472225,817892.0903248793,969.6079377047786,13287.24631946846,53.781874857461744
71.0,1.0,69475.26033164137,7256.689240199184,821.2438157167333,14936.58152345387,42.83629032928771
72.0,1.0,69989.90285911909,572281.4706255742,840.7369093113091,19523.332020217935,37.38444125209022
73.0,1.0,72663.38969906447,724931.0891115846,808.9037770845081,18125.594128344805,32.67644382309219
74.0,1.0,74760.14004351116,783116.5466165447,935.3472098754286,19291.83160392828,41.95796625266628
75.0,1.0,74122.69791506925,993363.5807019487,821.4820560421342,17402.503292219695,38.381268017340766
76.0,1.0,77363.8576116573,85649.07011583808,970.0644732347351,19208.538555813964,37.980791848214054
77.0,1.0,76843.2650723537,981552.1770556384,785.9065150303567,17643.05191198831,34.351557979911085
78.0,1.0,77106.05693546009,1166685.61900512,859.1409420231001,17124.05733690419,40.9957028812418
79.0,1.0,78469.34425371047,331137.54366202786,789.2575322547218,18291.419535186127,38.101727213213174
80.0,1.0,78660.13505131385,12997.014205297311,872.4802035600636,16216.930248987304,38.23810054114868
81.0,1.0,79053.09988098404,885696.0773507595,770.0123301524269,19070.962871293854,32.54658647249613
82.0,1.0,83046.4072886395,309980.9012822735,1351.695241934116,7474.022199069651,109.88119303454782
83.0,1.0,82709.31656122637,360830.6323827352,871.9681430414186,18555.784052004452,41.057553825217866
84.0,1.0,82727.17387930548,425125.61302165437,801.8690897231855,18999.2140047977,26.314892460093688
85.0,1.0,82981.80043541662,1205551.1587015032,875.0787782974818,15840.463532095793,52.79732035411902
86.0,1.0,83511.99628562169,87719.8307120023,907.6325305328105,17557.453964170058,38.74485452740571
87.0,1.0,83281.33547180095,146358.42251901972,966.7437532216353,17468.611773086475,43.95445879924273
88.0,1.0,84958.69560929744,9874.057886158782,793.7154768363295,16704.749435369664,34.78244402944965
89.0,1.0,84795.56049502933,67965.4927088503,886.6121212684378,17628.2735129855,36.52252365448203
90.0,1.0,87903.66751467714,53675.316668595406,954.4887028691314,17192.437611477173,62.79269600306838
91.0,1.0,89456.26483747858,728148.1710633666,722.3366063950588,17581.14074976783,28.84290563694954
92.0,1.0,90859.24937311943,382431.623342716,800.0071615492615,17219.269717583655,34.29174448084014
93.0,1.0,90549.58196658372,529452.0510829336,789.2919122110136,19438.71548801164,74.94252649562884
94.0,1.0,90884.03845250701,533660.7866552098,764.5289824821945,20105.50262195157,65.63671229064481
95.0,1.0,90353.42154770307,613450.391718355,819.3325087314364,18662.279246138438,44.64346600684554
96.0,1.0,90793.48330243972,903557.6426141416,805.1639797369612,19109.243866553756,29.415894890876064
97.0,1.0,90306.7180107956,1103457.36073643,830.8703651485669,17284.71085553214,44.64486921737675
98.0,1.0,90991.4195443658,1181441.2820973601,959.0664921897904,19007.421126801026,37.25188853557123
99.0,1.0,91659.94096583095,787121.8274552445,1071.9492524341824,14747.522233277641,47.0612629376968
